keys,values
00000,f
0000100,k
0000101000,M
00001010010,U
00001010011,J
0000101010,q
0000101011,5
000010110,P
000010111,D
000011,w
0001,s
001,e
01000,d
010010,m
010011,y
0101,n
0110,o
01110000,0
0111000100,3
0111000101,N
0111000110,z
01110001110,K
01110001111,4
01110010,"
"
0111001100,B
0111001101000,Z
0111001101001,7
0111001101010,L
0111001101011,G
01110011011,F
011100111,T
011101,g
011110,v
01111100000,?
01111100001,—
011111000100,6
011111000101,Y
01111100011,R
011111001,-
011111010,’
0111110110,%
0111110111,j
0111111,.
1000,i
1001,t
1010,a
10110,h
10111,l
11000,c
1100100,","
1100101000,9
1100101001,S
110010101000,E
110010101001,:
11001010101,H
1100101011,x
110010110,I
110010111,1
110011,p
110100,u
1101010,b
11010110000,O
11010110001,2
1101011001,W
1101011010,“
1101011011,A
1101011100,V
1101011101,”
110101111,C
11011,r
111, 
