keys,values
000,e
001, 
0100,o
0101,t
0110,n
01110,l
011110,c
011111,i
1000,"
"
10010,d
100110,","
100111,C
10100,x
101010,s
101011,r
10110,h
101110,_
1011110,a
1011111,)
11000,(
110010,;
1100110,v
1100111,R
110100,y
1101010,D
1101011,	
110110,O
1101110,2
11011110,S
11011111,=
1110000,H
1110001,N
1110010,L
11100110,u
11100111,E
1110100,f
1110101,b
1110110,W
11101110,P
111011110,G
111011111,1
1111000,/
11110010,m
11110011,g
11110100,T
11110101,0
11110110,w
111101110,p
111101111,I
11111000,F
11111001,B
11111010,5
111110110,.
1111101110,#
1111101111,>
11111100,<
111111010,}
1111110110,{
1111110111,j
111111100,:
1111111010,-
1111111011,+
1111111100,U
1111111101,V
11111111100,3
111111111010,|
111111111011,k
111111111100,]
111111111101,[
111111111110,M
111111111111,&
